tRNA_id,decay_rate_k
ENST00000554988.1,0.1
ENST00000647846.1,0.07641101600916057
ENST00000364451.1,0.04570679253461019
ENST00000365645.1,0.0446426012314801
ENST00000363500.1,0.042646248615833875
ENST00000365055.1,0.04260187080167357
ENST00000363511.1,0.04250861418927494
ENST00000362400.1,0.04249694569688936
ENST00000364718.1,0.042467467125291876
ENST00000362464.1,0.04240495025448599
ENST00000363754.1,0.04231874098968163
ENST00000516507.1,0.042301651119471755
ENST00000362526.1,0.04228174030204187
ENST00000365651.1,0.042200518430583214
ENST00000365241.1,0.04217877249963269
ENST00000364485.1,0.04216940069292566
ENST00000363473.1,0.042053413102641365
ENST00000363040.1,0.04199784615014368
ENST00000362467.1,0.041900062944207964
ENST00000365387.1,0.041825188936481045
ENST00000362482.1,0.04171529977481627
ENST00000365656.1,0.041585259783536783
ENST00000363120.1,0.03384639087624242
ENST00000365484.1,0.011697501149759409
ENST00000490232.3,0.008751849020313686
ENST00000516869.1,0.008293975615922064
ENST00000365328.1,0.0076661251111074255
ENST00000636484.1,0.007650553273308929
ENST00000364228.1,0.00672901733714402
ENST00000408749.1,0.006381598086845779
ENST00000363046.1,0.0056704081333945715
ENST00000618786.1,0.0016863255378712252
ENST00000651540.1,-0.16798199733328995
