tRNA_id,decay_rate_k
ENST00000647846.1,0.059935576645391835
ENST00000364784.1,0.044465646132735674
ENST00000365645.1,0.042790478614004285
ENST00000365241.1,0.04238817617613718
ENST00000364451.1,0.041765249707540066
ENST00000364718.1,0.041180873934860286
ENST00000365656.1,0.04115547120479617
ENST00000362464.1,0.04114745329916885
ENST00000362467.1,0.04113304014641915
ENST00000363500.1,0.04108183266974313
ENST00000363040.1,0.04108027509892185
ENST00000384627.1,0.041076226283699654
ENST00000362482.1,0.041014675074736294
ENST00000365055.1,0.04100768752510567
ENST00000364485.1,0.04100057418237959
ENST00000365387.1,0.040976894049979756
ENST00000365651.1,0.04094924260243499
ENST00000362526.1,0.040911122349518846
ENST00000363754.1,0.04077993300625478
ENST00000363473.1,0.04076679264625924
ENST00000383898.1,0.040753227883648206
ENST00000362400.1,0.04074692890637182
ENST00000363511.1,0.04068977342192087
ENST00000365467.1,0.04051575459690102
ENST00000384776.1,0.0361615881723574
ENST00000516507.1,0.033048558115092205
ENST00000363120.1,0.029371721131490794
ENST00000490232.3,0.015269161748166659
ENST00000516869.1,0.009978160507946176
ENST00000365328.1,0.009402435441662086
ENST00000636484.1,0.009364824807982583
ENST00000408749.1,0.008498372054389492
ENST00000364228.1,0.00813435911759971
ENST00000365484.1,0.00682266386146584
ENST00000384413.1,0.006764867323711587
ENST00000363046.1,0.005985739286199853
ENST00000363624.1,0.004573276770753555
ENST00000618786.1,0.0023337431360887883
ENST00000651540.1,-0.16921732016081162
ENST00000554988.1,-0.9682343923054446
