tRNA_id,decay_rate_k
ENST00000554988.1,0.1
ENST00000647846.1,0.06034500138743034
ENST00000364784.1,0.04468413154082877
ENST00000365645.1,0.043796745244339075
ENST00000365241.1,0.043508028878902524
ENST00000364451.1,0.043070177572600475
ENST00000363040.1,0.04248969312197562
ENST00000365656.1,0.0424477827475721
ENST00000362482.1,0.04235533153568393
ENST00000363500.1,0.04233686755672631
ENST00000362467.1,0.0422557184911816
ENST00000365651.1,0.042227806042048226
ENST00000365387.1,0.0422054730985431
ENST00000364485.1,0.042192750059222205
ENST00000362526.1,0.04217219159500868
ENST00000362464.1,0.042149153802012604
ENST00000364718.1,0.04213663478761161
ENST00000363754.1,0.04211670904787468
ENST00000363473.1,0.04201270561728355
ENST00000365055.1,0.04200581833682059
ENST00000363511.1,0.0418655099745403
ENST00000362400.1,0.041865063682909535
ENST00000490232.3,0.04108745290436571
ENST00000365467.1,0.04022651145255143
ENST00000384627.1,0.03942344304923122
ENST00000383898.1,0.03936589446270262
ENST00000384776.1,0.03719813873305232
ENST00000516507.1,0.03460901884537686
ENST00000363120.1,0.030220459669726155
ENST00000516869.1,0.01480210374438533
ENST00000365328.1,0.01283926749503283
ENST00000636484.1,0.01279672249748422
ENST00000408749.1,0.009254700880849691
ENST00000363046.1,0.008962672796235088
ENST00000364228.1,0.007733789398903398
ENST00000384413.1,0.007714228149538883
ENST00000365484.1,0.007195724293294399
ENST00000618786.1,0.005052453065638223
ENST00000651540.1,-0.16848111570092092
